con,score
test engineer folk joined,16.0
superlative perks passed onto,16.0
sunday evening taking reviews,16.0
strongly recommend external audit,16.0
processes takes away motivation,16.0
madam ko wahi utar,16.0
causes executional challengesnot secured,16.0
ani technologies pvt ltdlittle,16.0
upper managementnon streamlined processes,15.8
impossible target setting .-,15.727272727272727
deadlinesyour experience depends lot,15.714285714285715
8 years less experience,15.714285714285715
learn morework life balancethere,15.692307692307693
cut copy paste uber,15.666666666666666
clear directionno value add,15.666666666666666
home sweets :)- hike,15.6
unstructured thoughwork life balance,15.504807692307693
stable nowwork life balance,15.504807692307693
provide transportationwork life balance,15.504807692307693
someone running away within,15.5
job safety issuesgrowth chances,15.5
deprived offno training available,15.5
app malfunction driver drop,15.5
bit difficult learn .-,15.477272727272727
work daily plus connecting,15.428571428571429
undeserving peopleneed better growth,15.333333333333334
senior mgt takes pride,15.333333333333334
campaing changes instantlythe process,15.285714285714285
worklong working hoursdidnt invested,15.272727272727273
intense bangalore trafficwork culture,15.272727272727273
upto markno cab servicenot,15.25
none equity optionswork hours,15.25
learning definitely gets hindered,15.25
highly demotivating .- rude,15.227272727272727
cons side .- lots,15.227272727272727
proper processes causes lot,15.214285714285715
difficult sometimespathetic middle management,15.214285714285715
concern .- people speak,15.200956937799042
sometimes personal life suffers,15.192307692307693
running indian company ops,15.181818181818182
constant team member changes,15.176470588235293
wait till uber publishes,15.166666666666666
simple phone reimbursement policy,15.166666666666666
never ending list goes,15.166666666666666
means !- unrealistic expectations,15.166666666666666
manager commits unrealistic timelines,15.166666666666666
systemswork life balance might,15.104807692307693
worst ground level management5,15.083333333333334
extremely rude senior management3,15.083333333333334
get things release asap,15.030303030303031
ridiculous upper management comprised,15.014285714285714
shift timing never changes1,15.0
new joiners quit within,15.0
minimal since 2 years,15.0
iit tag ... others,15.0
bit hecticnot organised due,15.0
upto markshockingly poor people,14.973684210526315
nono work life balance,14.93337912087912
nicerno work life balance,14.93337912087912
improve work life balance,14.93337912087912
downsidepoor work life balance,14.93337912087912
consbad work life balance,14.93337912087912
manage work properlyyou may,14.928571428571429
worst team managmentno appreciation,14.926470588235293
times till late night,14.916666666666666
structure currenly ... managers,14.9
long term planninglacks structure,14.9
late .- employees starting,14.877272727272727
many approvals without documenting,14.85
paid food nowappraisal cycle,14.833333333333334
one person controls everything,14.833333333333334
cannot really take care,14.833333333333334
little difficultsome times people,14.807017543859647
least take leadership coaching,14.785714285714285
next levelcrony culture prevalent,14.772727272727273
policies might affect youeverything,14.766666666666666
business contributionwork life balance,14.754807692307693
quality solutiontoo much hierachy,14.715789473684211
new management create conspiracy,14.714285714285715
work like bonded labours,14.7012987012987
ticking time bombsstress levels,14.7
startup phaseless impactful work,14.678571428571429
gurgaonunrealistic expectationshuge work load,14.678571428571429
uncertain appraisal policy :-,14.666666666666666
incompetent ). huge inequality,14.666666666666666
.- work life balance,14.660651848151847
work overloadedno proper professionalism,14.642857142857142
value people across functionsappraisal,14.640350877192983
good engineercompany still stuck,14.619047619047619
one digit hike ).,14.6
highi really dont know,14.583333333333334
worst company without direction,14.531818181818181
people work without ethicsit,14.502255639097744
sure politics !!! 4,14.5
sde3 even dont know,14.5
highly egoistno job security,14.5
higher levelsno job security,14.5
reject ex ola employees,14.49090909090909
5 year experience guy,14.464285714285715
late night work culture,14.451298701298702
work life balancenot much,14.436668594563331
sdetsometimes work becomes hectic,14.428571428571429
upper managementsome senior leadership,14.419047619047618
helped every way possible,14.416666666666666
work life balanceno process,14.406593406593405
get much learning experience,14.393711551606287
work might get dropped,14.392207792207792
pathetic hrhectic work life,14.37087912087912
hence things get started,14.363636363636363
average hike around 10,14.35
work whole night even,14.345238095238095
top levelno proper communication,14.325396825396826
childish hiring people firing,14.30701754385965
reason hr said :-,14.299999999999999
work life balance zero,14.266712454212454
great learningssame boring work,14.261904761904763
much work loadno cons,14.24436090225564
mid level managers try,14.233333333333334
elite business school people,14.223684210526315
good work life balance,14.219093406593405
well somtimessenior management needs,14.214285714285715
prior product management experience,14.214285714285715
little bit work pressure,14.095238095238095
growth definitelylong term planning,14.066666666666668
14 hrs per day,14.0
work anymore .- sense,13.98917748917749
bad work cultureno work,13.968253968253968
extremely high attrition rate,13.95
people getting away even,13.923684210526316
nothing much .. everything,13.899122807017545
whole teams keep sitting,13.866666666666667
like normal working days,13.795454545454547
dont ever join team,13.759803921568627
poor quality product thinking,13.685714285714287
upper management .. salary,13.680952380952382
assignemntworst hr working like,13.67878787878788
extremely high work pressure,13.628571428571428
people pretty much work,13.551378446115288
life balance ...,11.004807692307693
bit boring life,10.942307692307693
work life balance,10.93337912087912
work like balance,10.5137987012987
never ever join,10.5
poor quality sometimes,10.4
long term sense,10.4
much business value,10.232456140350877
high attrition rate,10.2
get paid highly,10.196969696969697
whole culture around,10.18939393939394
firing policy need,10.166666666666666
worst hr culture,10.156060606060606
proper management .-,10.155844155844155
badly .- work,10.155844155844155
work life balance4,10.12087912087912
work life balance2,10.12087912087912
employeesin work life,10.12087912087912
really nothing needs,10.083333333333334
incompetent senior management,10.047619047619047
higher management ..,10.047619047619047
upper management politicsroadmaps,10.014285714285714
things shift instantly,10.0
reason ... ladies,10.0
politicszero job security,10.0
managersno job security,10.0
dont even think,10.0
like gaining experience,9.987012987012989
good work culture,9.987012987012987
politics .- delays,9.977272727272727
new people hired,9.973684210526315
pathetic work culture,9.951298701298702
life miserable even,9.942307692307693
next leavepoor work,9.928571428571429
hectic work schedule,9.928571428571429
proper work process,9.928571428571427
shift within ola,9.924242424242426
ordered many times,9.916666666666666
made around uber,9.916666666666666
little politics creeping,9.916666666666666
great product leadership,9.904761904761905
"people "". work",9.902255639097744
short term thinking,9.9
customer experience team,9.890756302521009
extremely unfriendly hr,9.883333333333333
high work load,9.878571428571428
company started hiring,9.84848484848485
way ola app,9.84090909090909
people get fired,9.83732057416268
wont ever know,9.833333333333334
medical reimbursement started,9.833333333333334
least one instance,9.833333333333334
highly paid labour,9.833333333333334
fixed appraisal cycle,9.833333333333334
almost 14 hrs,9.833333333333334
managers treat employees,9.8
poor hr policies,9.799999999999999
pathetic senior management,9.797619047619047
life outside ola,9.783216783216783
top level hiring,9.777777777777779
unrealistic expectationsnothing bad,9.777777777777777
major cons working,9.772727272727273
feel like sitting,9.772727272727273
hike every year1,9.766666666666666
work 24 hrs,9.761904761904763
business team still,9.759803921568627
starts late ends,9.75
problem across startup,9.75
cannot handle pressure,9.75
becomes myopic due,9.75
abusing people working,9.746411483253588
much manual work,9.74436090225564
short term planning,9.733333333333334
hr without backbones,9.733333333333334
great quality worknot,9.733333333333334
bad senior leadership,9.730158730158731
bad appraisal process,9.730158730158731
even admin people,9.723684210526315
really bad culture,9.717171717171718
horrible mid management,9.714285714285715
horrible work culture,9.701298701298702
work like dumb,9.7012987012987
work like balance1,9.7012987012987
work culture wise,9.7012987012987
part time job,9.7
need product managers,9.685714285714285
"company ."" 2",9.681818181818182
work load randomly,9.678571428571429
work gets repetitivework,9.678571428571429
sometime work load,9.678571428571429
people getting hired,9.673684210526316
people getting fired,9.673684210526316
month back ).,9.666666666666666
glance :- 1,9.666666666666666
5 day week,9.666666666666666
pretty much driven,9.649122807017545
much growth opportunity,9.649122807017545
much growth nowmost,9.649122807017545
proper work timings,9.642857142857142
getting work done,9.628571428571428
really bad company,9.626262626262626
still exit process,9.61904761904762
get incremental business,9.613636363636363
tl might fire,9.6
"role ), hike",9.6
might say startups,9.6
benefits without evaluating,9.6
ola cab due,9.59090909090909
slow growth year,9.583333333333334
one year completion,9.583333333333334
garage startup anymore,9.583333333333334
product leadership roles,9.571428571428571
product leadership role,9.571428571428571
worktoo much pressure,9.56578947368421
startup anymorenothing much,9.56578947368421
much pressure ............,9.56578947368421
think ola people,9.564593301435407
senior management fails,9.547619047619047
proper sprint planning,9.547619047619047
many teamsbad process,9.535714285714285
give anymore time,9.533333333333335
high salary package,9.533333333333333
getting structured one,9.533333333333333
pathetic working environment,9.522727272727273
capabilitieslong working hours,9.522727272727273
7 days working,9.522727272727273
6 days working,9.522727272727273
proper hr policies,9.514285714285714
withdrawing huge package,9.5
well managed environment,9.5
un realistic expectations,9.5
think important may,9.5
single day ..,9.5
priorities keep changing,9.5
pressure created even,9.5
office till 7,9.5
nil training programmes8,9.5
new exciting project,9.5
know anything technically,9.5
issue since generally,9.5
iit brand name,9.5
every one month,9.5
elite mba grads,9.5
doingno cons right,9.5
cost cutting list,9.5
contradictory requirements within,9.5
continue till 1,9.5
cheap manager mentalityabusive,9.5
category head levels,9.5
average tech stack,9.5
attention seeking person,9.5
money motivates people,9.473684210526315
experienced people earlier,9.473684210526315
company experienced like,9.454545454545455
high pressure job1,9.45
high dissatisfaction due,9.45
even city teams,9.45
bad senior leadership3,9.444444444444445
every move like,9.43939393939394
6 day working,9.43939393939394
work volcano erupts,9.428571428571429
work free nature,9.428571428571429
work everywhere elsepay,9.428571428571429
stupid work culture4,9.428571428571429
scared work force,9.428571428571429
riseunstructured work environmentneed,9.428571428571429
proper management skills,9.428571428571429
mercenary work force,9.428571428571429
manual work donenothing,9.428571428571429
makes u work,9.428571428571429
hostile work atmosphere,9.428571428571429
heavy work load2,9.428571428571429
heavy manual work,9.428571428571429
exploitative work place,9.428571428571429
enjoyable work environment,9.428571428571429
call hamper work,9.428571428571429
always availableunstructured work,9.428571428571429
cab dispatch team,9.426470588235293
business facinng team,9.426470588235293
bad hr team,9.420915032679739
policies around wfh,9.416666666666666
project management teams,9.414285714285715
high management push,9.414285714285715
hr issuesno culture,9.406060606060606
stupid managers plays,9.4
nt inform employees,9.4
mobile apps quality,9.4
early stage employees,9.4
proper usegood team,9.390756302521009
company full time,9.381818181818183
every management move4,9.380952380952381
day management want,9.380952380952381
soon get divorce,9.363636363636363
meetings get scheduled,9.363636363636363
always get blamed,9.363636363636363
also get fired,9.363636363636363
proper processincapable hr,9.347619047619048
even though ola,9.34090909090909
zero cultural events2,9.333333333333334
task distribution level,9.333333333333334
senior industry professionals,9.333333333333334
really valuable insights,9.333333333333334
pretty serious illness,9.333333333333334
placei guess ..,9.333333333333334
junior level folks,9.333333333333334
found .. lack,9.333333333333334
fast growth environment,9.333333333333334
expect zero help,9.333333333333334
c level executives,9.333333333333334
bno salary band,9.333333333333334
top management 3,9.325396825396826
ineffectual top management,9.325396825396826
fit top management,9.325396825396826
biased top management,9.325396825396826
recognitiontoo much ambiguity,9.31578947368421
much technical background,9.31578947368421
engineering excellencetoo much,9.31578947368421
deliverednot much focus,9.31578947368421
back homenothing much,9.31578947368421
hr team sucks,9.309803921568626
biased hr team,9.309803921568626
hr policies defined,9.3
single good leader,9.285714285714285
laterally hired leadership,9.285714285714285
good companymanagement need,9.285714285714285
decent process flow,9.285714285714285
creates good platform,9.285714285714285
cohesive product vision,9.285714285714285
afford good talentbureaucracy,9.285714285714285
perpetually working round,9.272727272727273
looks like saturation,9.272727272727273
works gets done,9.25
way transport system,9.25
slaveno cab facility,9.25
project gets added,9.25
play dirty politics,9.25
nothing else going,9.25
mostly 4 layers,9.25
many moving partsrecruitment,9.25
last 1 year,9.25
illogical pptsnot even,9.25
hardly even meet,9.25
far ..... nothing,9.25
expect business calls,9.25
even starts questioning,9.25
countless weekend hours,9.25
competitionno business clarity,9.25
city .) 4,9.25
certain products 4,9.25
best way '.,9.25
already intelligentwork pressure,9.25
6 days working4,9.25
12 hours daily3,9.25
startno proper canteen,9.214285714285715
proper timeline given,9.214285714285715
management etc etc,9.214285714285715
management always look,9.214285714285715
largeambitious management leads,9.214285714285715
inexperienced management always,9.214285714285715
functional stakeholder management,9.214285714285715
brash management style,9.214285714285715
astronomicalno proper vision,9.214285714285715
high packet please,9.2
high otherwise everyone,9.2
city teams tend,9.2
big time jokers,9.2
admin teams need,9.2
web focussed company,9.181818181818182
fast paced company,9.181818181818182
entire company runs,9.181818181818182
company yo go,9.181818181818182
weekdumb central team,9.176470588235293
team spaces etc,9.176470588235293
team building activities,9.176470588235293
team bonding activities,9.176470588235293
enough team buildingthe,9.176470588235293
core team managing,9.176470588235293
think ofhr policies,9.166666666666666
plans every daynot,9.166666666666666
browsing full day,9.166666666666666
horrible hr department,9.133333333333333
existent hr except,9.133333333333333
toespathetic top managementdo,9.11111111111111
retain top talent,9.11111111111111
bad corporate program,9.11111111111111
arrogant top management2,9.11111111111111
rare trait ola,9.09090909090909
ola nobody want,9.09090909090909
ola make crores,9.09090909090909
ola cabscity head,9.09090909090909
yes boss material,9.0
workthe main challenge,9.0
visionsudden lay offs,9.0
view -- software,9.0
varied skill set,9.0
variable compoents moreas,9.0
using different tools,9.0
undealableextended timings along,9.0
tung languages always,9.0
trastable companydon ’,9.0
think ofi left,9.0
themfirefighting approach hinders,9.0
terminatedunprofessional city gm,9.0
teamsunqualified persons promoting,9.0
sudden changessmall offices,9.0
stock options ..-,9.0
starts messaging non,9.0
share common values,9.0
reward ratio makes,9.0
"revealed today "".",9.0
reputed firm registered,9.0
received relieving letter,9.0
project requires cross,9.0
poorfast development leads,9.0
overpaid jack heads,9.0
operations executive faced,9.0
opening office closing,9.0
open ended kras,9.0
nowvery unprofessional place,9.0
non supportive leaders7,9.0
non critical things7,9.0
naive solution comes,9.0
mythno transportation provided,9.0
managementno career developmentculture,9.0
made tech leads,9.0
"june month "".",9.0
itnot enough facilitiesoffice,9.0
internal factorsneed patience,9.0
initiative looks nonviable,9.0
hyundai service center,9.0
house lunch facilitymicromanagement,9.0
hit employee satisfactionhiring,9.0
hefty pay package,9.0
healthy sustainable environment,9.0
hardworking employeesi worked,9.0
hard earned money,9.0
haphazard decision making,9.0
give hikes based,9.0
follow agile model,9.0
finding employee ’,9.0
finally heremud slinging,9.0
employee rewards etc,9.0
development efforts required,9.0
deployment errors throughout,9.0
defined career track,9.0
dark emergency period,9.0
corporate office ones,9.0
consulting practice shrunk,9.0
constantly stressful environment,9.0
code writing machines,9.0
career simply patheticnon,9.0
career advancement courses,9.0
busy building visibility,9.0
burning vc money,9.0
bright red sign,9.0
boot licking ladder,9.0
"big warning ),",9.0
bhavish ag .),9.0
best pay masterless,9.0
become extemely beauracratic,9.0
ball passing behaviour,9.0
ba suddenly realizes,9.0
ba prepares bhavish,9.0
automobile service centre,9.0
analogous government offices,9.0
already inflated titles,9.0
ad hoc decisions,9.0
abusive unparliamentary words,9.0
3rd world treatment,9.0
31st march 2016,9.0
....... see guys,9.0
